AVG QTY Per Serving,Category,Description,Serving Size (g),Energy (kcal),Protein (g),"Fat, Total (g)",Sat. Fat (g),Trans fatty acid (g),Cholesterol (mg),Carbohydrates (g),Dietary Fibre (g),Sugars (g),Sodium (mg)
"Italian B.M.T.TM (with Chicken Ham Slice, Beef Salami and Beef Pepperoni)",Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",237,374,19,13.2,4.6,0.1,14,45.5,2.5,4.5,1086
Roast Beef,Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",231,325,23.1,6.4,1.6,0.1,28,44.2,2.4,4.7,807
"Subway ClubTM (with Turkey Breast, Chicken Ham Slice, Roast Beef)",Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",231,314,19.2,6.5,1.5,0.1,20,45.3,2.5,4.7,926
Tuna & Mayo,Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",245,499,20.6,27.2,4.1,0.7,34,43.3,2.4,4.2,787
Turkey Breast,Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",231,308,18.2,6,1.3,0.1,18,45.7,2.5,4.6,977
Spicy Italian (with Beef Salami and Beef Pepperoni),Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",243,433,20.5,19.1,7.3,0.1,13,45.5,2.4,4.3,1228
Subway Veggie Delite™,Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",171,251,8.8,5,0.9,0.1,0.3,43.2,2.4,4.1,472
Chicken Bulgogi,Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",263,372,25.7,7.1,1.2,0.1,0.3,50.9,2.6,11.1,1048
Chicken Cutlet,Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",288,507,28.7,18.6,6.4,0.1,31,57,10.5,5.4,903
Chicken Teriyaki,Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",263,364,25.7,6.9,1.2,0.1,0.3,50.3,2.4,10.1,983
Chunky Steak & Cheese (with Sliced Old English Style Processed Cheese),Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",253,387,29.1,10.6,5,0.1,45,44.5,2.4,4.4,920
Meatball Marinara,Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",276,425,21.3,15.1,6.4,0.1,22,52.1,3.1,6.4,874
Roasted Chicken Breast Patty,Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",242,330,23.3,6.4,1.1,0.1,0.3,45.3,2.4,5.4,809
"Subway MeltTM (with Chicken Ham Slice, Turkey Breast, Chicken Bacon and Sliced Old English Style Processed Cheese)",Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",257,370,22.5,10.1,3.8,0.1,25,46.9,3.1,5.1,1281
Veggie Patty,Hot Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",251,451,13.4,15.6,6.1,0.1,0.4,65.9,5.7,6.3,874
Chicken Ham,Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",295,109,10.7,3,1.2,0,15,11.2,3.2,6,682
"Cold Cut Trio (with Turkey Bologna, Turkey Ham and Turkey Salami)",Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",295,110,11.7,2.4,0.8,0,32,11.6,3.7,5.8,744
Egg & Mayo (with Hard Boiled Egg),Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",309,192,5.8,15.3,2.8,0.3,110,9,3.3,5.6,401
"Italian B.M.T.TM (with Chicken Ham Slice, Beef Salami and Beef Pepperoni)",Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",301,168,12.3,8.9,3.8,0,14,11.2,3.2,5.8,824
Roast Beef,Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",295,119,16.4,2.1,0.8,0,27,9.9,3.1,6.1,545
"Subway ClubTM (with Turkey Breast, Chicken Ham Slice, Roast Beef)",Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",295,108,12.5,22 2.2,0.7,0,19,11,3.2,6,664
Tuna & Mayo,Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",309,N 293,14,22.9,3.3,0.7,34,9,3.1,5.6,525
Turkey Breast,Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",295,102,11.5,1.7,0.5,0,18,11.4,3.2,6,715
Spicy Italian (with Beef Salami and Beef Pepperoni),Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",307,227,13.9,14.8,6.5,0,13,11.2,3.1,5.7,966
Subway Veggie Delite™,Cold Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",235,45,2.1,0.7,0.1,0,0,8.9,3.1,5.5,210
Chicken Bulgogi,Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",328,166,19,2.8,0.4,0,0,16.6,3.3,12.5,786
Chicken Cutlet,Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",352,301,22,14.3,5.6,0,30,22.7,11.2,6.8,640
Chicken Teriyaki,Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",328,158,19,2.5,0.4,0,0,16,3.1,11.4,721
Chunky Steak & Cheese (with Sliced Old English Style Processed Cheese),Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",318,181,22.4,6.3,4.2,0,45,10.2,3.1,5.8,658
Meatball Marinara,Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",340,219,14.6,10.8,5.6,0,22,17.8,3.8,7.8,612
Roasted Chicken Breast Patty,Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",306,124,16.6,2.1,0.3,0,0,11,3.1,6.7,547
"Subway MeltTM (with Chicken Ham Slice, Turkey Breast, Chicken Bacon and Sliced Old English Style Processed Cheese)",Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",322,163,15.9,51 5.8,3,0,25,12.6,3.8,6.4,1019
Veggie Patty,Hot Salads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers, onions, beetroot, carrots, pickles, olives and jalapenos",315,245,6.8,11.3,5.3,0.1,0.1,31.6,6.4,7.7,612
